Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle (barns);Ecart type reel
M1A;CALIBAN3m;285;0,00E+00;9,20E-01;1,00E+00;9,99E-01;9,87E-01;9,97E-02;2,81E-07;1,38E-07
M1E;SILENENU05m;90;9,97E-01;8,24E-01;0,00E+00;1,31E-03;8,08E-01;1,00E+00;2,10E-07;1,38E-07
M1E;CALIBAN3m;195;9,85E-01;4,51E-01;9,82E-01;1,00E+00;0,00E+00;9,22E-03;2,20E-07;1,62E-07
M1C;Flattop;120;1,00E+00;9,86E-01;1,60E-01;0,00E+00;6,60E-01;9,94E-01;1,61E-08;8,99E-09
M1C;SILENENU05m;315;0,00E+00;3,16E-01;9,05E-01;9,52E-01;1,00E+00;4,46E-01;2,23E-07;1,24E-07
M1C;Flattop;165;1,00E+00;9,94E-01;3,93E-01;2,67E-02;0,00E+00;5,24E-01;1,25E-08;9,30E-09
M1A;SILENEPb4m;225;8,78E-01;1,00E+00;9,90E-01;9,18E-01;3,37E-01;0,00E+00;5,61E-08;2,76E-08
M1A;Flattop;30;7,46E-01;3,30E-02;0,00E+00;8,35E-01;1,00E+00;9,77E-01;1,57E-08;9,11E-09
M1E;CALIBAN025m;225;2,92E-01;1,00E+00;9,63E-01;9,74E-01;1,52E-01;0,00E+00;3,03E-07;2,14E-07
M1A;SILENENU4m;105;1,00E+00;9,33E-01;9,25E-02;0,00E+00;9,73E-01;9,63E-01;1,22E-07;6,20E-08
M1C;SILENEPb4m;75;9,96E-01;9,49E-01;0,00E+00;1,04E-01;9,83E-01;1,00E+00;5,45E-08;3,12E-08
M1A;SILENEPb4m;135;1,00E+00;9,69E-01;3,79E-01;0,00E+00;1,75E-01;9,41E-01;4,80E-08;2,88E-08
M1E;Flattop;120;9,70E-01;1,00E+00;1,23E-01;0,00E+00;1,75E-01;9,78E-01;1,37E-08;1,04E-08
M1A;SILENEPb4m;165;9,87E-01;1,00E+00;7,83E-01;1,22E-02;0,00E+00;9,87E-01;5,07E-08;3,22E-08
M1E;SILENENU4m;45;9,27E-01;3,44E-02;0,00E+00;5,29E-01;1,00E+00;9,69E-01;1,04E-07;7,17E-08
M1E;SILENENU4m;60;9,70E-01;3,79E-01;0,00E+00;1,72E-01;1,00E+00;9,91E-01;1,02E-07;6,89E-08
M1E;Flattop;150;1,00E+00;9,91E-01;1,24E-01;6,44E-04;0,00E+00;8,31E-01;1,23E-08;1,04E-08
M1C;SILENENU05m;195;9,59E-01;6,41E-01;1,00E+00;9,74E-01;1,85E-03;0,00E+00;2,09E-07;1,42E-07
M1A;CALIBAN025m;195;9,51E-01;4,29E-01;1,00E+00;9,58E-01;0,00E+00;4,35E-02;3,05E-07;2,01E-07
M1E;Flattop;90;9,92E-01;8,26E-01;0,00E+00;5,04E-03;8,25E-01;1,00E+00;1,52E-08;9,88E-09
M1E;SILENENU05m;360;8,46E-02;0,00E+00;4,78E-01;8,29E-01;2,61E-01;1,00E+00;1,51E-07;1,22E-07
M1E;CALIBAN3m;270;1,16E-02;8,39E-01;1,00E+00;9,87E-01;8,17E-01;0,00E+00;2,46E-07;1,56E-07
M1C;Flattop;15;4,07E-01;0,00E+00;3,40E-02;2,28E-01;1,00E+00;9,62E-01;1,15E-08;9,56E-09
M1A;CALIBAN025m;360;2,28E-01;0,00E+00;9,34E-01;8,33E-01;1,00E+00;9,90E-01;3,48E-07;1,93E-07
