Angle reel (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne reelle;Ecart type reel (degres);;
285;4,59E-01;0,00E+00;2,53E-02;9,66E-01;1,00E+00;9,99E-01;6,79E-07;5,07E-07;;
285;8,74E-01;0,00E+00;2,38E-02;8,87E-01;9,89E-01;1,00E+00;1,29E-06;8,83E-07;;
225;0,00E+00;4,39E-02;9,60E-01;1,00E+00;9,96E-01;4,94E-01;2,36E-07;1,64E-07;;
315;9,46E-01;9,83E-02;0,00E+00;9,22E-02;1,00E+00;9,92E-01;1,31E-08;1,05E-08;;
180;2,50E-04;8,63E-01;9,94E-01;1,00E+00;8,12E-01;0,00E+00;1,26E-06;8,61E-07;;
240;3,38E-03;0,00E+00;1,00E+00;9,72E-01;9,82E-01;9,05E-01;2,18E-06;1,22E-06;;
120;7,02E-01;9,81E-01;1,00E+00;9,54E-01;1,46E-02;0,00E+00;1,84E-06;1,27E-06;;
75;1,00E+00;9,61E-01;9,11E-01;6,07E-02;0,00E+00;9,02E-01;1,98E-06;1,26E-06;;
270;5,62E-01;0,00E+00;5,64E-01;9,89E-01;1,00E+00;9,84E-01;1,69E-06;8,80E-07;;
120;1,00E+00;9,70E-01;9,86E-01;9,04E-01;2,12E-03;0,00E+00;2,18E-06;1,22E-06;;
105;1,00E+00;7,16E-01;8,98E-01;9,75E-01;0,00E+00;9,94E-02;7,08E-07;3,79E-07;;
60;1,00E+00;9,88E-01;9,11E-01;0,00E+00;3,39E-02;9,08E-01;1,91E-06;1,11E-06;;
330;9,79E-01;4,80E-01;0,00E+00;1,16E-01;9,52E-01;1,00E+00;1,88E-06;1,10E-06;;
45;1,00E+00;9,92E-01;1,14E-01;0,00E+00;1,05E-01;9,46E-01;2,78E-07;2,20E-07;;
90;9,76E-01;9,67E-01;1,00E+00;7,40E-01;0,00E+00;7,27E-01;2,33E-06;9,59E-07;;
120;9,02E-01;9,20E-01;9,27E-01;1,00E+00;3,65E-02;0,00E+00;1,37E-06;7,04E-07;;
15;9,98E-01;9,67E-01;3,89E-02;0,00E+00;9,56E-01;1,00E+00;1,68E-06;1,03E-06;;
90;1,00E+00;9,85E-01;9,91E-01;5,40E-01;0,00E+00;5,42E-01;2,00E-06;1,06E-06;;
30;9,95E-01;9,71E-01;1,20E-01;0,00E+00;5,08E-01;1,00E+00;2,05E-06;1,13E-06;;
225;0,00E+00;9,40E-02;9,41E-01;1,00E+00;9,92E-01;1,03E-01;9,21E-08;7,51E-08;;
270;8,13E-02;0,00E+00;8,04E-02;9,91E-01;1,00E+00;9,80E-01;6,14E-07;5,39E-07;;
90;9,76E-01;9,19E-01;1,00E+00;3,02E-01;0,00E+00;2,92E-01;1,35E-06;6,01E-07;;
255;9,93E-03;0,00E+00;8,72E-01;9,92E-01;1,00E+00;8,84E-01;2,10E-07;1,47E-07;;
240;0,00E+00;2,67E-02;8,24E-01;1,00E+00;9,39E-01;8,12E-01;2,51E-07;1,55E-07;;
270;6,16E-01;0,00E+00;6,20E-01;1,00E+00;9,96E-01;9,89E-01;1,74E-06;8,60E-07;;
240;0,00E+00;1,95E-03;9,31E-01;1,00E+00;9,87E-01;5,56E-01;1,18E-06;8,79E-07;;
345;9,88E-01;7,27E-01;0,00E+00;8,95E-03;9,56E-01;1,00E+00;1,06E-07;7,42E-08;;
180;2,59E-03;7,58E-01;1,00E+00;9,72E-01;7,98E-01;0,00E+00;2,52E-07;1,48E-07;;
240;0,00E+00;9,73E-03;8,94E-01;9,86E-01;1,00E+00;7,59E-01;7,13E-07;4,97E-07;;
120;6,25E-01;9,98E-01;1,00E+00;9,70E-01;8,52E-03;0,00E+00;1,72E-06;1,23E-06;;
270;6,03E-01;0,00E+00;5,81E-01;9,05E-01;1,00E+00;9,43E-01;1,18E-07;5,72E-08;;
255;1,14E-02;0,00E+00;8,97E-01;9,86E-01;1,00E+00;9,04E-01;1,57E-06;1,10E-06;;
15;1,00E+00;9,78E-01;5,95E-02;0,00E+00;9,82E-01;9,91E-01;2,08E-06;1,14E-06;;
60;9,49E-01;9,47E-01;9,06E-01;0,00E+00;5,25E-02;1,00E+00;1,36E-06;7,12E-07;;
135;1,43E-01;9,31E-01;9,67E-01;1,00E+00;1,42E-01;0,00E+00;4,46E-08;3,28E-08;;
195;0,00E+00;7,45E-01;9,99E-01;1,00E+00;9,63E-01;8,41E-03;2,41E-07;1,68E-07;;
300;9,43E-01;1,35E-02;0,00E+00;7,60E-01;9,88E-01;1,00E+00;1,26E-06;8,63E-07;;
150;1,17E-01;1,00E+00;9,66E-01;9,65E-01;4,24E-01;0,00E+00;1,22E-06;7,15E-07;;
135;1,03E-01;9,74E-01;9,78E-01;1,00E+00;1,12E-01;0,00E+00;2,78E-07;2,21E-07;;
75;1,00E+00;9,63E-01;9,54E-01;9,08E-02;0,00E+00;9,71E-01;2,13E-06;1,25E-06;;
45;1,00E+00;9,71E-01;9,79E-02;0,00E+00;9,16E-02;9,54E-01;4,19E-08;3,46E-08;;
165;5,41E-02;1,00E+00;8,69E-01;9,09E-01;9,38E-01;0,00E+00;1,39E-06;7,46E-07;;
30;1,00E+00;9,83E-01;1,12E-01;0,00E+00;4,90E-01;1,00E+00;1,88E-06;1,09E-06;;
180;3,75E-03;7,66E-01;1,00E+00;9,74E-01;8,13E-01;0,00E+00;1,10E-07;6,60E-08;;
270;2,38E-01;0,00E+00;2,38E-01;9,99E-01;9,82E-01;1,00E+00;1,96E-06;1,20E-06;;
150;3,95E-02;9,96E-01;1,00E+00;9,94E-01;2,49E-01;0,00E+00;2,19E-07;1,73E-07;;
135;5,00E-01;9,35E-01;9,82E-01;1,00E+00;4,20E-02;0,00E+00;2,02E-07;1,40E-07;;
360;9,84E-01;8,36E-01;0,00E+00;8,30E-04;8,24E-01;1,00E+00;1,05E-07;7,01E-08;;
210;0,00E+00;4,09E-01;1,00E+00;9,82E-01;9,63E-01;9,38E-02;1,86E-06;1,19E-06;;
180;4,45E-03;8,55E-01;1,00E+00;9,93E-01;8,26E-01;0,00E+00;2,03E-06;1,08E-06;;
90;9,77E-01;9,54E-01;1,00E+00;6,63E-01;0,00E+00;6,46E-01;2,32E-06;1,09E-06;;
225;0,00E+00;4,82E-02;9,46E-01;9,84E-01;1,00E+00;5,02E-01;3,12E-07;2,12E-07;;
270;5,51E-01;0,00E+00;5,55E-01;1,00E+00;9,72E-01;9,90E-01;2,17E-06;1,13E-06;;
360;8,82E-01;9,23E-01;0,00E+00;4,93E-03;1,00E+00;8,72E-01;1,47E-06;6,41E-07;;
195;0,00E+00;6,99E-01;9,96E-01;1,00E+00;9,52E-01;3,08E-03;7,15E-07;5,13E-07;;
120;8,79E-01;9,91E-01;1,00E+00;9,85E-01;3,28E-02;0,00E+00;2,11E-06;1,27E-06;;
210;0,00E+00;8,40E-01;9,00E-01;8,61E-01;1,00E+00;2,83E-01;7,81E-07;1,47E-07;;
270;6,13E-01;0,00E+00;6,13E-01;9,61E-01;1,00E+00;9,67E-01;2,35E-07;1,13E-07;;
360;9,80E-01;7,98E-01;0,00E+00;3,19E-03;7,34E-01;1,00E+00;4,98E-08;3,03E-08;;
105;9,70E-01;1,00E+00;9,95E-01;9,54E-01;0,00E+00;2,67E-02;1,91E-06;1,30E-06;;
330;1,00E+00;4,19E-01;0,00E+00;4,73E-01;9,83E-01;8,00E-01;7,53E-07;1,66E-07;;
345;1,00E+00;8,76E-01;0,00E+00;1,41E-02;9,47E-01;9,94E-01;7,57E-07;5,13E-07;;
150;2,60E-01;9,64E-01;8,19E-01;1,00E+00;6,79E-01;0,00E+00;7,46E-07;1,89E-07;;
120;7,28E-01;1,00E+00;9,97E-01;9,51E-01;9,42E-03;0,00E+00;1,05E-07;7,24E-08;;
45;9,51E-01;1,00E+00;1,23E-01;0,00E+00;1,18E-01;9,42E-01;6,46E-07;5,16E-07;;
75;9,58E-01;8,89E-01;9,73E-01;5,80E-02;0,00E+00;1,00E+00;1,35E-06;8,43E-07;;
135;7,87E-01;7,24E-01;6,75E-01;1,00E+00;1,90E-01;0,00E+00;7,71E-07;1,94E-07;;
75;9,67E-01;9,50E-01;1,00E+00;9,40E-02;0,00E+00;5,86E-01;1,92E-06;1,14E-06;;
135;3,96E-01;8,49E-01;7,96E-01;1,00E+00;3,40E-01;0,00E+00;6,92E-07;1,99E-07;;
165;8,78E-03;9,51E-01;1,00E+00;9,88E-01;7,30E-01;0,00E+00;2,10E-07;1,47E-07;;
60;9,94E-01;1,00E+00;6,94E-01;0,00E+00;1,06E-02;9,57E-01;1,48E-08;1,03E-08;;
105;9,42E-01;9,63E-01;1,00E+00;6,51E-01;0,00E+00;9,52E-02;2,01E-06;1,15E-06;;
165;8,34E-02;9,64E-01;9,67E-01;1,00E+00;7,60E-01;0,00E+00;2,01E-06;1,16E-06;;
360;9,65E-01;7,95E-01;0,00E+00;3,67E-03;7,50E-01;1,00E+00;2,52E-07;1,49E-07;;
15;9,98E-01;9,80E-01;4,88E-03;0,00E+00;7,26E-01;1,00E+00;1,26E-06;8,98E-07;;
120;5,75E-01;9,98E-01;1,00E+00;9,19E-01;3,95E-03;0,00E+00;4,55E-08;3,35E-08;;
165;2,46E-02;9,72E-01;9,63E-01;1,00E+00;8,79E-01;0,00E+00;2,28E-07;1,45E-07;;
285;9,09E-01;0,00E+00;8,95E-02;9,28E-01;9,47E-01;1,00E+00;2,08E-06;1,24E-06;;
285;9,61E-01;0,00E+00;9,31E-02;1,00E+00;7,08E-01;8,90E-01;7,09E-07;3,81E-07;;
105;8,77E-01;9,97E-01;1,00E+00;8,63E-01;0,00E+00;1,77E-02;4,91E-08;3,38E-08;;
105;8,94E-01;1,00E+00;9,84E-01;8,82E-01;0,00E+00;2,51E-02;3,28E-07;2,23E-07;;
150;4,40E-02;9,99E-01;9,99E-01;1,00E+00;2,54E-01;0,00E+00;1,39E-08;1,09E-08;;
150;1,58E-02;9,76E-01;1,00E+00;9,93E-01;1,43E-01;0,00E+00;4,09E-08;3,62E-08;;
315;9,82E-01;7,50E-02;0,00E+00;7,77E-02;9,93E-01;1,00E+00;1,29E-08;1,10E-08;;
300;9,75E-01;1,19E-02;0,00E+00;7,30E-01;1,00E+00;9,98E-01;1,04E-07;7,21E-08;;
240;0,00E+00;2,42E-02;9,08E-01;9,99E-01;1,00E+00;9,01E-01;1,32E-06;8,55E-07;;
330;9,55E-01;3,53E-01;0,00E+00;6,54E-02;9,59E-01;1,00E+00;3,01E-07;2,12E-07;;
225;0,00E+00;1,54E-01;9,67E-01;1,00E+00;9,64E-01;1,67E-01;1,82E-06;1,28E-06;;
15;1,00E+00;9,84E-01;2,98E-02;0,00E+00;9,17E-01;9,54E-01;5,14E-08;3,30E-08;;
15;9,94E-01;1,00E+00;3,82E-02;0,00E+00;6,99E-01;9,53E-01;2,12E-07;1,40E-07;;
135;1,35E-01;9,93E-01;1,00E+00;9,91E-01;1,42E-01;0,00E+00;1,38E-06;1,05E-06;;
360;9,85E-01;8,31E-01;0,00E+00;4,86E-03;9,00E-01;1,00E+00;2,07E-06;9,62E-07;;
180;6,62E-03;8,76E-01;1,00E+00;9,82E-01;8,04E-01;0,00E+00;2,14E-06;9,57E-07;;
